strip,number,expected,category,color temp,lux,R,G,B,C,R_clear,G_clear,B_clear,R_gamma,G_gamma,B_gamma,H_360,H,S,V
5,5_8,5,protein,5625,4290,5891,6365,5251,17127,87.71,94.767,78.181,17.867,21.681,13.403,86.25,0.2396,0.1702,94
5,5_8,5,glucose,5243,4377,8588,7656,6720,22469,97.465,86.888,76.265,23.257,17.452,12.597,28.57,0.0794,0.2165,97
5,5_8,5,ketone,5952,1415,4541,3417,3421,10874,106.488,80.13,80.224,29.02,14.254,14.295,0,0,0.2453,106
6,6_8,4,blood,6778,2096,2560,3099,2683,8359,78.095,94.538,81.848,13.366,21.551,15.03,131.25,0.3646,0.1702,94
6,6_8,6,protein,5897,4580,8149,7799,6946,22569,92.073,88.118,78.481,20.173,18.076,13.531,42.86,0.119,0.1522,92
6,6_8,6,glucose,3904,1710,4794,3509,3103,11039,110.741,81.058,71.679,32.004,14.67,10.787,15.38,0.0427,0.3545,110
1,1_9,1,blood,4528,5294,10307,8916,7421,26397,99.568,86.13,71.688,24.532,17.074,10.791,32.14,0.0893,0.2828,99
1,1_9,1,pH,1863,1832,8638,4773,3958,17027,129.365,71.481,59.276,47.204,10.713,6.709,10.29,0.0286,0.5426,129
1,1_9,1,protein,4250,5449,9414,8439,6578,24170,99.32,89.034,69.4,24.38,18.549,9.95,40,0.1111,0.303,99
1,1_9,1,glucose,10174,3020,4429,5260,5252,14835,76.13,90.415,90.277,12.541,19.277,19.204,180,0.5,0.1556,90
1,1_9,1,ketone,5371,4789,9509,8477,7519,25250,96.031,85.609,75.934,22.412,16.817,12.461,28.57,0.0794,0.2188,96
2,2_9,2,pH,3190,4166,10190,7429,5808,23004,112.956,82.351,64.382,33.629,15.262,8.248,22.5,0.0625,0.4286,112
2,2_9,2,protein,4757,5166,9379,8464,7033,24561,97.376,87.876,73.019,23.204,17.952,11.299,35,0.0972,0.2474,97
2,2_9,2,glucose,5629,3491,5371,5467,4637,15238,89.881,91.487,77.598,18.994,19.854,13.154,68.57,0.1905,0.1538,91
2,2_9,2,ketone,4906,4510,10163,8427,7502,25680,100.918,83.679,74.494,25.372,15.885,11.878,20.77,0.0577,0.26,100
3,3_9,3,pH,4581,4721,8698,7727,6354,22462,98.744,87.721,72.134,24.028,17.873,10.959,34.62,0.0962,0.2653,98
3,3_9,3,protein,3678,4392,6079,5774,3754,15466,100.229,95.2,61.895,24.942,21.93,7.474,52.31,0.1453,0.39,100
3,3_9,3,glucose,4979,4102,6729,6437,5291,18052,95.053,90.928,74.74,21.845,19.552,11.976,45.71,0.127,0.2211,95
3,3_9,3,ketone,3052,2087,7775,5025,4535,16885,117.419,75.888,68.488,37.05,12.442,9.627,8.57,0.0238,0.4188,117
4,4_9,2,blood,5156,5165,9282,8578,7323,25005,94.657,87.478,74.68,21.619,17.75,11.952,39,0.1083,0.2128,94
4,4_9,4,pH,5580,3095,4561,4737,3963,13288,87.527,90.904,76.051,17.774,19.539,12.508,72.86,0.2024,0.1556,90
4,4_9,4,protein,5410,4711,7820,7590,6462,21601,92.315,89.6,76.284,20.306,18.846,12.604,48.75,0.1354,0.1739,92
4,4_9,4,glucose,3794,2485,5011,4089,3199,12202,104.721,85.453,66.853,27.831,16.74,9.062,30,0.0833,0.3654,104
4,4_9,4,ketone,5130,2640,7851,5924,5685,18990,105.424,79.548,76.339,28.3,13.996,12.627,6.21,0.0172,0.2762,105
5,5_9,3,blood,4818,3727,3827,4661,3261,11619,83.99,102.294,71.569,16.033,26.246,10.746,96.77,0.2688,0.3039,102
5,5_9,5,pH,7377,3197,5542,5632,5319,16125,87.641,89.064,84.114,17.832,18.565,16.092,84,0.2333,0.0562,89
5,5_9,5,protein,5811,4752,8256,7967,7026,22895,91.954,88.735,78.254,20.108,18.394,13.434,46.15,0.1282,0.1429,91
5,5_9,5,glucose,4103,2526,5602,4494,3755,13548,105.441,84.586,70.676,28.311,16.319,10.414,24,0.0667,0.3333,105
5,5_9,5,ketone,5824,3844,8210,7208,6649,21546,97.167,85.308,78.692,23.08,16.669,13.623,22.11,0.0614,0.1959,97
6,6_9,4,blood,5936,4394,7873,7521,6722,21933,91.534,87.442,78.152,19.879,17.731,13.39,41.54,0.1154,0.1429,91
6,6_9,6,protein,6342,4174,6739,6880,6144,19512,88.071,89.914,80.295,18.052,19.011,14.327,66.67,0.1852,0.1011,89
6,6_9,6,glucose,3414,1289,4173,2852,2537,9295,114.483,78.242,69.6,34.777,13.429,10.022,12,0.0333,0.3947,114
1,1_10,1,blood,4383,5308,10337,8871,7292,26255,100.397,86.159,70.823,25.046,17.088,10.468,32,0.0889,0.3,100
1,1_10,1,pH,1705,1602,8464,4465,3685,16294,132.461,69.877,57.67,50.079,10.122,6.263,9.6,0.0267,0.5682,132
1,1_10,1,protein,4106,5363,9126,8159,6219,23257,100.061,89.459,68.188,24.837,18.771,9.522,39.38,0.1094,0.32,100
1,1_10,1,glucose,10244,3004,4406,5240,5240,14771,76.063,90.461,90.461,12.513,19.302,19.302,180,0.5,0.1556,90
1,1_10,1,ketone,5331,4698,9368,8322,7372,24836,96.185,85.445,75.691,22.501,16.736,12.361,28.57,0.0794,0.2188,96
2,2_10,2,pH,3732,4490,10276,7968,6490,24335,107.679,83.495,68.007,29.838,15.797,9.459,23.08,0.0641,0.3645,107
2,2_10,2,protein,3449,4670,6734,6139,3870,16733,102.622,93.554,58.976,26.457,20.994,6.624,47.73,0.1326,0.4314,102
2,2_10,2,glucose,5681,3940,6401,6352,5475,17889,91.244,90.545,78.044,19.722,19.346,13.344,55.38,0.1538,0.1429,91
2,2_10,2,ketone,5216,4615,9751,8409,7503,25292,98.312,84.782,75.647,23.766,16.413,12.343,23.48,0.0652,0.2347,98
3,3_10,3,pH,3781,3973,7032,6040,4477,17339,103.418,88.829,65.842,26.973,18.443,8.724,36.32,0.1009,0.3689,103
3,3_10,3,protein,4770,5177,8794,8186,6678,23325,96.14,89.493,73.007,22.475,18.789,11.294,41.74,0.1159,0.2396,96
3,3_10,3,glucose,4547,3382,4936,4879,3711,13278,94.794,93.7,71.269,21.697,21.076,10.634,57.39,0.1594,0.2447,94
3,3_10,3,ketone,4616,3759,9383,7389,6636,22878,104.584,82.358,73.965,27.74,15.265,11.668,17.42,0.0484,0.2981,104
4,4_10,2,blood,4333,4879,7581,7172,5437,20198,95.71,90.547,68.642,22.225,19.347,9.681,48.89,0.1358,0.2842,95
4,4_10,4,pH,5547,4666,8265,7820,6822,22656,93.025,88.016,76.784,20.698,18.024,12.812,42.35,0.1176,0.1828,93
4,4_10,4,protein,5211,3905,5200,5598,4429,15211,87.174,93.846,74.249,17.596,21.158,11.78,78.95,0.2193,0.2043,93
4,4_10,4,glucose,5040,4208,8119,7228,6236,21222,97.557,86.85,74.931,23.312,17.433,12.053,31.3,0.087,0.2371,97
4,4_10,4,ketone,2960,735,5725,3267,3501,12035,121.302,69.222,74.18,40.19,9.887,11.753,354.23,0.984,0.4298,121
5,5_10,3,blood,5267,4625,6790,6963,5684,19132,90.5,92.806,75.759,19.322,20.577,12.389,67.06,0.1863,0.1848,92
5,5_10,5,pH,12833,1629,2443,2989,3136,8318,74.894,91.632,96.138,12.038,19.932,22.474,193.64,0.5379,0.2292,96
5,5_10,5,protein,5646,4119,5615,6097,5029,16418,87.211,94.697,78.109,17.614,21.641,13.372,86.25,0.2396,0.1702,94
5,5_10,5,glucose,5240,4289,8478,7533,6623,22165,97.536,86.664,76.195,23.3,17.34,12.568,28.57,0.0794,0.2165,97
5,5_10,5,ketone,6092,1316,4402,3278,3317,10529,106.611,79.389,80.334,29.104,13.927,14.345,357.78,0.9938,0.2547,106
6,6_10,4,blood,5932,4379,7847,7494,6697,21855,91.557,87.439,78.139,19.892,17.73,13.385,41.54,0.1154,0.1429,91
6,6_10,6,protein,6307,4199,6846,6946,6204,19734,88.463,89.755,80.167,18.253,18.927,14.27,66.67,0.1852,0.1011,89
6,6_10,6,glucose,3410,1284,4173,2848,2536,9287,114.581,78.2,69.633,34.852,13.411,10.034,12,0.0333,0.3947,114
1,1_11,1,blood,2845,4587,9232,6919,4558,20693,113.766,85.263,56.168,34.235,16.647,5.864,30.53,0.0848,0.5044,113
1,1_11,1,pH,3297,3088,9317,6442,5539,20858,113.905,78.757,67.717,34.34,13.651,9.358,14.35,0.0399,0.4071,113
1,1_11,1,protein,3234,4789,7511,6455,4045,17988,106.477,91.507,57.342,29.012,19.864,6.175,41.63,0.1156,0.4623,106
1,1_11,1,glucose,8411,3484,5558,6061,5845,17236,82.228,89.67,86.475,15.205,18.882,17.245,154.29,0.4286,0.0787,89
1,1_11,1,ketone,5597,5093,9931,9004,8053,26678,94.925,86.064,76.974,21.772,17.041,12.891,33.33,0.0926,0.1915,94
2,2_11,2,pH,3763,4491,10236,7965,6499,24297,107.428,83.594,68.208,29.664,15.844,9.528,23.08,0.0641,0.3645,107
2,2_11,2,protein,3457,4666,6732,6140,3879,16736,102.573,93.553,59.103,26.425,20.993,6.66,47.44,0.1318,0.4216,102
2,2_11,2,glucose,5685,3941,6449,6378,5508,17990,91.412,90.405,78.073,19.813,19.272,13.357,55.38,0.1538,0.1429,91
2,2_11,2,ketone,5221,4554,9607,8292,7398,24928,98.274,84.823,75.678,23.743,16.433,12.355,23.48,0.0652,0.2347,98
3,3_11,3,pH,4609,4757,8728,7779,6404,22604,98.462,87.756,72.245,23.857,17.891,11.002,34.62,0.0962,0.2653,98
3,3_11,3,protein,3709,4493,6190,5909,3858,15843,99.631,95.108,62.096,24.571,21.877,7.535,53.51,0.1486,0.3737,99
3,3_11,3,glucose,5026,4159,6807,6534,5388,18339,94.65,90.854,74.919,21.614,19.512,12.048,48,0.1333,0.2128,94
3,3_11,3,ketone,3042,2064,7723,4983,4500,16764,117.476,75.797,68.45,37.095,12.404,9.613,8.57,0.0238,0.4188,117
4,4_11,2,blood,4743,5155,8656,8089,6561,23236,94.994,88.772,72.003,21.811,18.413,10.91,43.64,0.1212,0.234,94
4,4_11,4,pH,5508,2692,3530,3890,3144,10714,84.016,92.584,74.829,16.045,20.454,12.012,86.67,0.2407,0.1957,92
4,4_11,4,protein,5351,4383,6595,6705,5545,18681,90.023,91.525,75.691,19.069,19.874,12.361,63.75,0.1771,0.1758,91
4,4_11,4,glucose,5396,4594,8731,7946,6985,23325,95.451,86.869,76.363,22.075,17.442,12.637,31.58,0.0877,0.2,95
4,4_11,4,ketone,4317,1450,6517,4259,4312,14670,113.281,74.032,74.953,33.871,11.695,12.062,0,0,0.3451,113
5,5_11,3,blood,4823,3814,4064,4845,3434,12121,85.498,101.928,72.244,16.762,26.012,11.001,93.1,0.2586,0.2871,101
5,5_11,5,pH,6945,3482,6145,6113,5699,17551,89.281,88.816,82.801,18.678,18.436,15.471,51.43,0.1429,0.0787,89
5,5_11,5,protein,5616,3612,4141,4951,3904,12756,82.781,98.973,78.043,15.462,24.168,13.344,108,0.3,0.2041,98
5,5_11,5,glucose,4247,2771,5836,4815,4008,14196,104.831,86.491,71.995,27.904,17.253,10.907,27.27,0.0758,0.3173,104
5,5_11,5,ketone,5766,3921,8222,7262,6655,21658,96.805,85.502,78.356,22.866,16.764,13.478,23.33,0.0648,0.1875,96
6,6_11,4,blood,6688,1995,2463,2953,2549,8124,77.31,92.69,80.009,13.032,20.513,14.2,132,0.3667,0.163,92
6,6_11,6,protein,5949,4523,8021,7704,6875,22319,91.642,88.02,78.549,19.938,18.026,13.561,46.15,0.1282,0.1429,91
6,6_11,6,glucose,3961,1674,4770,3483,3108,11106,109.522,79.972,71.361,31.131,14.183,10.668,12.63,0.0351,0.3486,109
1,1_12,1,blood,3888,5100,10020,8312,6512,24687,103.5,85.857,67.265,27.026,16.939,9.202,30,0.0833,0.3495,103
1,1_12,1,pH,1627,1261,8145,3975,3236,15095,137.594,67.15,54.666,55.072,9.163,5.479,9.4,0.0261,0.6058,137
1,1_12,1,protein,3757,5102,8392,7422,5312,20981,101.995,90.206,64.561,26.055,19.166,8.306,42.16,0.1171,0.3663,101
1,1_12,1,glucose,6363,4710,8474,8199,7487,23824,90.701,87.758,80.137,19.43,17.892,14.257,42,0.1167,0.1111,90
1,1_12,1,ketone,5202,4314,8795,7697,6803,23212,96.619,84.557,74.736,22.756,16.305,11.975,27.27,0.0758,0.2292,96
2,2_12,2,pH,2111,3005,9084,5536,3803,18179,127.423,77.654,53.345,45.452,13.178,5.154,19.46,0.0541,0.5827,127
2,2_12,2,protein,4099,5072,8125,7460,5553,20903,99.119,91.006,67.742,24.256,19.594,9.367,45,0.125,0.3232,99
2,2_12,2,glucose,5590,4797,8635,8122,7130,23521,93.615,88.054,77.299,21.028,18.043,13.028,41.25,0.1146,0.172,93
2,2_12,2,ketone,3770,3158,8939,6476,5685,20770,109.747,79.508,69.797,31.291,13.979,10.093,15,0.0417,0.367,109
3,3_12,3,pH,3301,3493,6077,5043,3407,14468,107.108,88.883,60.049,29.444,18.471,6.929,35.74,0.0993,0.4393,107
3,3_12,3,protein,4343,4910,7732,7273,5546,20289,97.179,91.41,69.704,23.087,19.812,10.06,47.14,0.131,0.2887,97
3,3_12,3,glucose,5392,4849,8693,8126,7042,23481,94.405,88.247,76.475,21.474,18.142,12.683,40,0.1111,0.1915,94
3,3_12,3,ketone,3790,2773,8412,5975,5364,19264,111.351,79.092,71.004,32.447,13.796,10.535,12,0.0333,0.3604,111
4,4_12,2,blood,5113,5158,9122,8476,7184,24636,94.419,87.733,74.359,21.483,17.879,11.824,39,0.1083,0.2128,94
4,4_12,4,pH,5557,3026,4317,4556,3775,12717,86.564,91.356,75.696,17.29,19.783,12.363,78.75,0.2188,0.1758,91
4,4_12,4,protein,5457,4727,7715,7566,6435,21470,91.631,89.862,76.429,19.932,18.983,12.664,52,0.1444,0.1648,91
4,4_12,4,glucose,3779,2443,4938,4021,3143,12010,104.845,85.375,66.733,27.913,16.702,9.022,30,0.0833,0.3654,104
4,4_12,4,ketone,5053,2384,7503,5542,5365,17946,106.612,78.748,76.233,29.104,13.647,12.583,4,0.0111,0.283,106
5,5_12,3,blood,5489,4879,8007,7842,6693,22282,91.634,89.746,76.596,19.933,18.922,12.734,52,0.1444,0.1648,91
5,5_12,5,pH,11279,1862,2968,3424,3522,9730,77.784,89.735,92.303,13.233,18.917,20.299,192,0.5333,0.163,92
5,5_12,5,protein,5711,4561,7076,7197,6149,20085,89.837,91.373,78.068,18.971,19.792,13.354,69.23,0.1923,0.1429,91
5,5_12,5,glucose,3477,1863,4523,3379,2734,10422,110.666,82.676,66.894,31.951,15.413,9.076,21.82,0.0606,0.4,110
5,5_12,5,ketone,5949,2180,5662,4603,4436,14209,101.612,82.607,79.61,25.811,15.381,14.024,8.18,0.0227,0.2178,101
6,6_12,4,blood,6221,2991,4526,4759,4168,13302,86.764,91.23,79.901,17.389,19.715,14.152,85,0.2361,0.1319,91
6,6_12,6,protein,7208,3115,4019,4781,4271,12919,79.329,94.369,84.303,13.9,21.454,16.182,140,0.3889,0.1596,94
6,6_12,6,glucose,5122,3485,7419,6354,5649,18881,100.198,85.815,76.293,24.922,16.918,12.608,22.5,0.0625,0.24,100
1,1_13,1,blood,3737,5031,9883,8113,6238,24050,104.789,86.021,66.141,27.876,17.02,8.823,31.58,0.0877,0.3654,104
1,1_13,1,pH,1625,1277,8135,3976,3221,15028,138.037,67.466,54.655,55.518,9.272,5.477,9.29,0.0258,0.6087,138
1,1_13,1,protein,3655,5042,8185,7219,5048,20308,102.776,90.646,63.386,26.556,19.401,7.933,41.54,0.1154,0.3824,102
1,1_13,1,glucose,6547,4629,8252,8069,7415,23388,89.972,87.977,80.846,19.042,18.003,14.574,46.67,0.1296,0.1011,89
1,1_13,1,ketone,5195,4257,8700,7604,6722,22948,96.675,84.496,74.695,22.789,16.275,11.958,27.27,0.0758,0.2292,96
2,2_13,2,pH,3652,4401,10151,7808,6322,23864,108.469,83.433,67.554,30.388,15.768,9.302,23.41,0.065,0.3796,108
2,2_13,2,protein,3432,4664,6706,6110,3829,16598,103.026,93.87,58.826,26.718,21.172,6.582,46.67,0.1296,0.4369,103
2,2_13,2,glucose,5679,3851,6200,6180,5315,17344,91.155,90.861,78.144,19.674,19.516,13.387,55.38,0.1538,0.1429,91
2,2_13,2,ketone,5163,4509,9661,8265,7377,24925,98.839,84.557,75.472,24.086,16.305,12.272,23.48,0.0652,0.2347,98
3,3_13,3,pH,3950,4115,7334,6359,4837,18304,102.173,88.59,67.386,26.168,18.319,9.244,36,0.1,0.3431,102
3,3_13,3,protein,4917,5102,8874,8232,6844,23631,95.759,88.831,73.853,22.253,18.444,11.624,40.91,0.1136,0.2316,95
3,3_13,3,glucose,4587,3405,5036,4958,3805,13565,94.669,93.202,71.528,21.625,20.797,10.731,57.39,0.1594,0.2447,94
3,3_13,3,ketone,4763,3907,9462,7583,6817,23365,103.266,82.759,74.399,26.874,15.452,11.84,16.55,0.046,0.2816,103
4,4_13,2,blood,4617,4933,8169,7631,6092,21923,95.019,88.761,70.86,21.825,18.407,10.482,43.2,0.12,0.2632,95
4,4_13,4,pH,5336,2554,3263,3616,2861,10024,83.007,91.987,72.781,15.568,20.126,11.207,85.26,0.2368,0.2088,91
4,4_13,4,protein,5277,4192,6214,6344,5196,17702,89.514,91.386,74.849,18.8,19.799,12.02,67.06,0.1863,0.1868,91
4,4_13,4,glucose,5325,4408,8444,7635,6696,22520,95.614,86.453,75.821,22.169,17.234,12.414,33,0.0917,0.2105,95
4,4_13,4,ketone,3965,1129,6126,3806,3947,13716,113.891,70.759,73.38,34.329,10.445,11.439,355.81,0.9884,0.3805,113
5,5_13,3,blood,5487,4859,8012,7828,6688,22299,91.621,89.517,76.481,19.926,18.802,12.686,52,0.1444,0.1648,91
5,5_13,5,pH,11029,1891,3061,3486,3575,9991,78.126,88.973,91.245,13.379,18.518,19.722,193.85,0.5385,0.1429,91
5,5_13,5,protein,5718,4585,7221,7290,6253,20456,90.015,90.876,77.949,19.065,19.523,13.303,60,0.1667,0.1444,90
5,5_13,5,glucose,3357,1790,4348,3219,2567,9924,111.723,82.713,65.96,32.719,15.43,8.763,22.17,0.0616,0.4144,111
5,5_13,5,ketone,5999,2163,5689,4609,4460,14322,101.291,82.062,79.409,25.608,15.129,13.935,8.18,0.0227,0.2178,101
6,6_13,4,blood,6059,3472,5775,5748,5090,16557,88.943,88.527,78.393,18.502,18.286,13.494,60,0.1667,0.1136,88
6,6_13,6,protein,6769,3431,4949,5446,4860,15136,83.377,91.75,81.878,15.742,19.997,15.044,108,0.3,0.1099,91
6,6_13,6,glucose,5447,3973,8229,7223,6497,21560,97.328,85.43,76.843,23.176,16.729,12.837,25.71,0.0714,0.2165,97
1,1_14,1,blood,3260,4759,9428,7421,5319,22065,108.957,85.763,61.47,30.731,16.892,7.347,30.64,0.0851,0.4352,108
1,1_14,1,pH,4358,4069,9721,7688,6707,23737,104.43,82.59,72.051,27.638,15.373,10.928,18.75,0.0521,0.3077,104
1,1_14,1,protein,3361,4857,7704,6678,4347,18749,104.78,90.826,59.122,27.87,19.497,6.665,41.33,0.1148,0.4327,104
1,1_14,1,glucose,7161,4265,7337,7441,6964,21414,87.37,88.608,82.928,17.695,18.328,15.531,70,0.1944,0.0682,88
1,1_14,1,ketone,5170,4196,8599,7499,6624,22646,96.827,84.441,74.588,22.879,16.249,11.915,27.27,0.0758,0.2292,96
2,2_14,2,pH,4607,4825,9743,8333,7056,24800,100.18,85.682,72.552,24.911,16.852,11.119,27.86,0.0774,0.28,100
2,2_14,2,protein,3795,4860,7432,6810,4748,18800,100.806,92.37,64.401,25.302,20.336,8.254,46.67,0.1296,0.36,100
2,2_14,2,glucose,5722,4671,8265,7879,6942,22673,92.955,88.614,78.076,20.66,18.331,13.358,42.86,0.119,0.1522,92
2,2_14,2,ketone,3424,2811,8644,5993,5248,19541,112.8,78.206,68.484,33.513,13.413,9.625,13.64,0.0379,0.3929,112
3,3_14,3,pH,3908,4030,7164,6200,4686,17854,102.32,88.552,66.928,26.263,18.299,9.088,36.67,0.1019,0.3529,102
3,3_14,3,protein,4885,5044,8733,8105,6713,23246,95.798,88.909,73.639,22.276,18.484,11.54,40.91,0.1136,0.2316,95
3,3_14,3,glucose,4587,3386,5012,4932,3786,13504,94.643,93.132,71.492,21.61,20.758,10.717,57.39,0.1594,0.2447,94
3,3_14,3,ketone,4711,3843,9388,7483,6721,23090,103.679,82.64,74.225,27.143,15.396,11.771,16.55,0.046,0.2816,103
4,4_14,2,blood,4728,5077,8490,7943,6426,22790,94.996,88.875,71.901,21.812,18.467,10.871,44.35,0.1232,0.2447,94
4,4_14,4,pH,5530,2703,3546,3911,3167,10750,84.114,92.773,75.124,16.092,20.558,12.131,88.24,0.2451,0.1848,92
4,4_14,4,protein,5340,4318,6458,6583,5431,18295,90.013,91.755,75.699,19.064,19.999,12.364,63.75,0.1771,0.1758,91
4,4_14,4,glucose,5368,4510,8577,7794,6841,22884,95.575,86.85,76.23,22.146,17.433,12.582,31.58,0.0877,0.2,95
4,4_14,4,ketone,4182,1357,6316,4078,4138,14110,114.145,73.699,74.783,34.521,11.564,11.994,358.54,0.9959,0.3596,114
5,5_14,3,blood,4886,3681,4004,4736,3407,12169,83.903,99.242,71.393,15.991,24.332,10.68,94.29,0.2619,0.2828,99
5,5_14,5,pH,7005,3443,6147,6090,5702,17630,88.91,88.086,82.474,18.485,18.059,15.319,60,0.1667,0.0682,88
5,5_14,5,protein,5688,3567,4187,4955,3954,13029,81.947,96.978,77.387,15.075,22.968,13.065,107.37,0.2982,0.1979,96
5,5_14,5,glucose,4268,2655,5792,4719,3979,14202,103.997,84.731,71.444,27.352,16.389,10.699,24.38,0.0677,0.3107,103
5,5_14,5,ketone,5816,3899,8242,7266,6686,21770,96.542,85.109,78.316,22.71,16.572,13.46,23.33,0.0648,0.1875,96
6,6_14,4,blood,6403,2415,3417,3751,3273,10559,82.521,90.587,79.043,15.341,19.369,13.775,103.64,0.2879,0.1222,90
6,6_14,6,protein,7527,2807,3423,4254,3820,11531,75.697,94.074,84.477,12.363,21.287,16.266,148.42,0.4123,0.2021,94
6,6_14,6,glucose,4874,2736,6362,5203,4660,15852,102.341,83.697,74.962,26.276,15.893,12.065,19.29,0.0536,0.2745,102
1,1_15,1,blood,3044,4652,9287,7137,4915,21267,111.355,85.576,58.933,32.45,16.8,6.612,30.57,0.0849,0.4775,111
1,1_15,1,pH,4002,3748,9690,7319,6364,22933,107.746,81.383,70.764,29.885,14.817,10.446,17.84,0.0495,0.3458,107
1,1_15,1,protein,3268,4908,7637,6609,4159,18375,105.983,91.717,57.717,28.677,19.978,6.276,42.5,0.1181,0.4571,105
1,1_15,1,glucose,7753,3907,6482,6809,6469,19459,84.943,89.228,84.773,16.492,18.651,16.409,120,0.3333,0.0562,89
1,1_15,1,ketone,5156,4164,8540,7441,6568,22485,96.851,84.388,74.487,22.893,16.223,11.875,27.27,0.0758,0.2292,96
2,2_15,2,pH,2841,3667,9518,6609,5020,20822,116.564,80.938,61.478,36.379,14.616,7.349,20.73,0.0576,0.4741,116
2,2_15,2,protein,4678,5133,9001,8217,6713,23650,97.051,88.598,72.381,23.011,18.323,11.054,38.4,0.1067,0.2577,97
2,2_15,2,glucose,5626,3165,4719,4881,4108,13551,88.801,91.85,77.304,18.428,20.051,13.03,72.86,0.2024,0.1538,91
2,2_15,2,ketone,4669,4083,9696,7797,6934,24047,102.819,82.681,73.53,26.584,15.415,11.497,18.62,0.0517,0.2843,102
3,3_15,3,pH,3273,3303,5876,4821,3277,13943,107.465,88.17,59.932,29.69,18.103,6.896,36.25,0.1007,0.4486,107
3,3_15,3,protein,4294,4652,7353,6883,5225,19178,97.769,91.52,69.474,23.439,19.871,9.977,47.14,0.131,0.2887,97
3,3_15,3,glucose,5358,4655,8400,7817,6770,22614,94.72,88.146,76.34,21.654,18.09,12.628,40,0.1111,0.1915,94
3,3_15,3,ketone,3780,2711,8273,5863,5269,18922,111.49,79.012,71.007,32.548,13.762,10.536,12,0.0333,0.3604,111
4,4_15,2,blood,4215,4579,7048,6645,4947,18733,95.94,90.454,67.34,22.358,19.298,9.228,49.29,0.1369,0.2947,95
4,4_15,4,pH,5497,4378,7802,7346,6398,21332,93.264,87.813,76.481,20.832,17.92,12.686,38.82,0.1078,0.1828,93
4,4_15,4,protein,5110,3618,4787,5143,4024,14020,87.067,93.542,73.19,17.542,20.988,11.365,78,0.2167,0.2151,93
4,4_15,4,glucose,4974,3897,7636,6732,5806,19901,97.843,86.26,74.395,23.484,17.138,11.838,31.3,0.087,0.2371,97
4,4_15,4,ketone,2560,588,5446,3016,3284,11409,121.722,67.41,73.4,40.538,9.252,11.447,353.33,0.9815,0.4463,121
5,5_15,3,blood,5534,4851,8178,7920,6823,22670,91.989,89.087,76.747,20.127,18.577,12.797,52,0.1444,0.1648,91
5,5_15,5,pH,10316,2006,3265,3662,3707,10441,79.741,89.437,90.536,14.081,18.76,19.342,185.45,0.5152,0.1222,90
5,5_15,5,protein,5716,4609,7321,7359,6324,20671,90.313,90.782,78.014,19.223,19.473,13.331,60,0.1667,0.1333,90
5,5_15,5,glucose,3367,1810,4342,3230,2566,9895,111.896,83.239,66.127,32.845,15.677,8.818,22.67,0.063,0.4054,111
5,5_15,5,ketone,5926,2402,6007,4954,4736,15236,100.537,82.913,79.265,25.134,15.524,13.872,8.57,0.0238,0.21,100
6,6_15,4,blood,6097,3041,4835,4931,4334,14139,87.2,88.932,78.165,17.609,18.496,13.396,66,0.1833,0.1136,88
6,6_15,6,protein,7133,2977,3948,4611,4124,12738,79.034,92.307,82.558,13.771,20.301,15.358,133.85,0.3718,0.1413,92
6,6_15,6,glucose,5270,3519,7580,6498,5842,19580,98.718,84.627,76.083,24.012,16.338,12.522,21.82,0.0606,0.2245,98
1,1_16,1,blood,3664,4900,9673,7884,6015,23472,105.088,85.652,65.347,28.075,16.838,8.561,30,0.0833,0.381,105
1,1_16,1,pH,4561,4335,9479,7832,6761,23783,101.633,83.974,72.491,25.824,16.025,11.096,22.76,0.0632,0.2871,101
1,1_16,1,protein,3557,4905,7936,6950,4765,19628,103.102,90.292,61.905,26.767,19.212,7.478,41.43,0.1151,0.4078,103
1,1_16,1,glucose,6671,4514,8026,7889,7284,22882,89.443,87.916,81.174,18.763,17.973,14.722,45,0.125,0.0899,89
1,1_16,1,ketone,5204,4190,8569,7490,6626,22615,96.621,84.455,74.713,22.757,16.256,11.965,27.27,0.0758,0.2292,96
2,2_16,2,pH,2011,2798,8850,5250,3573,17713,127.406,75.58,51.438,45.438,12.316,4.706,18.95,0.0526,0.5984,127
2,2_16,2,protein,3939,4783,7559,6902,4996,19417,99.271,90.643,65.612,24.35,19.399,8.647,44.12,0.1225,0.3434,99
2,2_16,2,glucose,5702,4663,8438,7952,7034,23138,92.994,87.638,77.521,20.681,17.831,13.121,40,0.1111,0.163,92
2,2_16,2,ketone,3634,2935,8701,6170,5436,20164,110.035,78.028,68.745,31.497,13.337,9.717,14.29,0.0397,0.3818,110
3,3_16,3,pH,4400,4433,8078,7138,5753,20721,99.411,87.843,70.798,24.436,17.935,10.459,35.17,0.0977,0.2929,99
3,3_16,3,protein,3681,4389,6033,5751,3728,15477,99.4,94.754,61.423,24.429,21.674,7.333,52.11,0.1447,0.3838,99
3,3_16,3,glucose,4879,3841,6091,5892,4756,16391,94.76,91.664,73.991,21.677,19.95,11.678,51.43,0.1429,0.2234,94
3,3_16,3,ketone,5153,4337,9451,8026,7189,24212,99.538,84.53,75.714,24.514,16.291,12.37,22.5,0.0625,0.2424,99
4,4_16,2,blood,5279,5031,9104,8432,7271,24631,94.252,87.295,75.275,21.388,17.657,12.192,37.89,0.1053,0.2021,94
